13.07.2019 10:14:45 ; 13.07.2019; 10:14:45 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:14:45 ; 13.07.2019; 10:14:45 ; Включено режим доливу. ; 2 ; 
13.07.2019 10:14:46 ; 13.07.2019; 10:14:46 ; Клапан закрито. ; 2 ; 
13.07.2019 10:15:07 ; 13.07.2019; 10:15:07 ; Додаток закрито ; 2 ; 
13.07.2019 10:25:37 ; 13.07.2019; 10:25:37 ; Додаток запущено ; 2 ; 
13.07.2019 10:25:37 ; 13.07.2019; 10:25:37 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:25:38 ; 13.07.2019; 10:25:38 ; Насос виключено. ; 2 ; 
13.07.2019 10:25:38 ; 13.07.2019; 10:25:38 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:25:39 ; 13.07.2019; 10:25:39 ; Клапан закрито. ; 2 ; 
13.07.2019 10:25:57 ; 13.07.2019; 10:25:57 ; Виконано вхід в систему ; 2 ; 
13.07.2019 10:27:16 ; 13.07.2019; 10:27:16 ; Додаток закрито ; 2 ; 
13.07.2019 10:30:58 ; 13.07.2019; 10:30:58 ; Додаток запущено ; 2 ; 
13.07.2019 10:30:58 ; 13.07.2019; 10:30:58 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:30:59 ; 13.07.2019; 10:30:59 ; Насос виключено. ; 2 ; 
13.07.2019 10:30:59 ; 13.07.2019; 10:30:59 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:31:00 ; 13.07.2019; 10:31:00 ; Клапан закрито. ; 2 ; 
13.07.2019 10:32:16 ; 13.07.2019; 10:32:16 ; Виконано вхід в систему ; 2 ; 
13.07.2019 10:34:07 ; 13.07.2019; 10:34:07 ; Завдання 46 : 22222222222222 завантажено. ; 2 ; 
13.07.2019 10:34:08 ; 13.07.2019; 10:34:08 ; Система готова до наливу. ; 2 ; 
13.07.2019 10:34:12 ; 13.07.2019; 10:34:12 ; Завдання 46 : 22222222222222 запущено ; 2 ; 
13.07.2019 10:34:17 ; 13.07.2019; 10:34:17 ; Насос включено. ; 2 ; 
13.07.2019 10:34:26 ; 13.07.2019; 10:34:26 ; Клапан відкрито. ; 2 ; 
13.07.2019 10:37:23 ; 13.07.2019; 10:37:23 ; Насос виключено. ; 2 ; 
